Metric,Value
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,57
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1029
design__max_cap_violation__count__corner:min_tt_025C_1v80,473
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.5886400422595304
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.6810419088109411
timing__hold__ws__corner:min_tt_025C_1v80,0.31487990883736444
timing__setup__ws__corner:min_tt_025C_1v80,13.758583106690548
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.314880
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,19.374231
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,505
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1539
design__max_fanout_violation__count__corner:min_ss_100C_1v60,1029
design__max_cap_violation__count__corner:min_ss_100C_1v60,484
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.8148126848313222
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.9367862306583878
timing__hold__ws__corner:min_ss_100C_1v60,0.0111572976238229
timing__setup__ws__corner:min_ss_100C_1v60,8.977083330789073
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.890169
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,14.351773
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,505
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,1029
design__max_cap_violation__count__corner:min_ff_n40C_1v95,465
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.48593785926124206
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.5607506839806693
timing__hold__ws__corner:min_ff_n40C_1v95,0.10646683835896154
timing__setup__ws__corner:min_ff_n40C_1v95,15.71662666718033
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.106467
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,21.310770
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,505
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,367
design__max_fanout_violation__count__corner:max_tt_025C_1v80,1029
design__max_cap_violation__count__corner:max_tt_025C_1v80,944
