Metric,Value
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,192
design__max_cap_violation__count__corner:min_tt_025C_1v80,25
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.5324755231898396
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5400395838928395
timing__hold__ws__corner:min_tt_025C_1v80,0.3113618340174343
timing__setup__ws__corner:min_tt_025C_1v80,15.868775187491694
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.311362
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,19.906189
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,273
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,318
design__max_fanout_violation__count__corner:min_ss_100C_1v60,192
design__max_cap_violation__count__corner:min_ss_100C_1v60,27
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.7427647596106182
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.7524892033583359
timing__hold__ws__corner:min_ss_100C_1v60,0.8857421713453871
timing__setup__ws__corner:min_ss_100C_1v60,12.78445652194428
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.885742
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,14.791492
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,273
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,192
design__max_cap_violation__count__corner:min_ff_n40C_1v95,25
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.4398616873014574
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.4461340034787729
timing__hold__ws__corner:min_ff_n40C_1v95,0.10708756406958478
timing__setup__ws__corner:min_ff_n40C_1v95,17.144540494775345
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.107088
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,22.541397
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,273
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,45
design__max_fanout_violation__count__corner:max_tt_025C_1v80,192
design__max_cap_violation__count__corner:max_tt_025C_1v80,57
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.5606477663033758
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.5769624941116545
timing__hold__ws__corner:max_tt_025C_1v80,0.3185509723944147
timing__setup__ws__corner:max_tt_025C_1v80,15.485837051007755
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.318551
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,19.689911
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,273
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,635
design__max_fanout_violation__count__corner:max_ss_100C_1v60,192
design__max_cap_violation__count__corner:max_ss_100C_1v60,57
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.7886225229397064
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.8018481661169027
timing__hold__ws__corner:max_ss_100C_1v60,0.9004401923394831
timing__setup__ws__corner:max_ss_100C_1v60,12.107218681412501
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.900440
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,14.517089
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,273
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,192
design__max_cap_violation__count__corner:max_ff_n40C_1v95,57
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.4684118780988407
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4737953496975031
timing__hold__ws__corner:max_ff_n40C_1v95,0.11119039337312299
timing__setup__ws__corner:max_ff_n40C_1v95,16.854237593729195
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.111190
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,22.499670
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,273
