Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_6_58,VGND,li1,32.4300,27.2000,0.000014
FILLER_6_54,VGND,li1,31.2800,27.2000,0.000014
FILLER_6_42,VGND,li1,27.6000,27.2000,0.000012
FILLER_6_22,VGND,li1,17.0200,27.2000,0.000012
FILLER_6_10,VGND,li1,12.8800,27.2000,0.000012
FILLER_5_103,VGND,li1,53.1300,27.2000,0.000025
FILLER_5_95,VGND,li1,51.0600,27.2000,0.000025
FILLER_5_83,VGND,li1,46.4600,27.2000,0.000023
FILLER_5_75,VGND,li1,40.2500,27.2000,0.000019
FILLER_5_69,VGND,li1,38.6400,27.2000,0.000019
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000016
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000014
FILLER_5_47,VGND,li1,28.9800,27.2000,0.000012
FILLER_5_35,VGND,li1,24.3800,27.2000,0.000010
FILLER_4_103,VGND,li1,53.1300,21.7600,0.000043
FILLER_4_97,VGND,li1,51.5200,21.7600,0.000041
FILLER_4_85,VGND,li1,47.3800,21.7600,0.000038
FILLER_4_83,VGND,li1,43.9300,21.7600,0.000035
FILLER_4_77,VGND,li1,42.3200,21.7600,0.000033
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000029
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000021
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000016
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000014
FILLER_4_25,VGND,li1,17.7100,21.7600,0.000014
FILLER_4_17,VGND,li1,15.1800,21.7600,0.000014
FILLER_3_102,VGND,li1,53.8200,21.7600,0.000043
FILLER_3_94,VGND,li1,48.9900,21.7600,0.000038
FILLER_3_88,VGND,li1,47.3800,21.7600,0.000038
FILLER_3_78,VGND,li1,42.0900,21.7600,0.000033
FILLER_3_70,VGND,li1,37.9500,21.7600,0.000027
FILLER_3_64,VGND,li1,36.3400,21.7600,0.000027
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000018
FILLER_3_49,VGND,li1,29.4400,21.7600,0.000018
FILLER_3_37,VGND,li1,25.3000,21.7600,0.000013
FILLER_3_25,VGND,li1,19.7800,21.7600,0.000014
FILLER_3_16,VGND,li1,13.3400,21.7600,0.000014
FILLER_2_103,VGND,li1,53.1300,16.3200,0.000086
FILLER_2_99,VGND,li1,51.9800,16.3200,0.000084
FILLER_2_83,VGND,li1,43.9300,16.3200,0.000070
FILLER_2_79,VGND,li1,42.7800,16.3200,0.000070
FILLER_2_51,VGND,li1,30.3600,16.3200,0.000041
FILLER_2_29,VGND,li1,19.3200,16.3200,0.000032
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000032
FILLER_2_13,VGND,li1,11.7300,16.3200,0.000034
FILLER_1_103,VGND,li1,53.1300,16.3200,0.000086
FILLER_1_87,VGND,li1,46.0000,16.3200,0.000073
FILLER_1_64,VGND,li1,35.6500,16.3200,0.000055
FILLER_1_34,VGND,li1,21.3900,16.3200,0.000031
FILLER_1_20,VGND,li1,14.9500,16.3200,0.000033
FILLER_0_99,VGND,li1,51.2900,10.8800,0.000076
FILLER_0_91,VGND,li1,49.2200,10.8800,0.000074
FILLER_0_85,VGND,li1,45.0800,10.8800,0.000067
FILLER_0_77,VGND,li1,41.6300,10.8800,0.000062
FILLER_0_70,VGND,li1,38.4100,10.8800,0.000056
FILLER_0_63,VGND,li1,35.1900,10.8800,0.000049
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000043
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000038
FILLER_0_48,VGND,li1,28.5200,10.8800,0.000030
FILLER_0_41,VGND,li1,25.3000,10.8800,0.000026
FILLER_0_36,VGND,li1,22.5400,10.8800,0.000027
FILLER_0_21,VGND,li1,15.4100,10.8800,0.000028
FILLER_0_15,VGND,li1,12.8800,10.8800,0.000029
output64,VGND,li1,22.0800,59.8400,0.000029
output63,VGND,li1,15.1800,59.8400,0.000032
output62,VGND,li1,20.2400,59.8400,0.000030
output61,VGND,li1,17.4800,59.8400,0.000031
output60,VGND,li1,7.8200,48.9600,0.000015
output59,VGND,li1,22.0800,54.4000,0.000012
output58,VGND,li1,11.0400,16.3200,0.000034
output57,VGND,li1,54.2800,16.3200,0.000086
output56,VGND,li1,54.2800,21.7600,0.000043
output55,VGND,li1,7.8200,10.8800,0.000029
output54,VGND,li1,52.4400,10.8800,0.000076
output53,VGND,li1,54.2800,16.3200,0.000086
